Party,Name,Votes,NameBallot,majority,Event,year,type,State,ParliamentCode,StateCode,SeatName,EligibleVoters,MalayVoters,ChineseVoters,IndianVoters,OtherVoters,BumiMuslimVoters,BumiNonmuslimVoters,SabahBumiVoters,Early,Postal,Spoilt,Turnout,Unreturned,Unopposed
MCA,TEH CHAI AAN,2762,TEH CHAI AAN,142,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
DAP,TEH SENG CHUAN,2620,TEH SENG CHUAN,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
PAS,KAMIS BIN YUB,2291,KAMIS BIN HJ YUB,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
BEBAS,YAACOB BIN MAN,132,YAACOB BIN MAN,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
MCA,KHAW HOCK KONG,3925,0,1486,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
DAP,TEH SENG CHUAN,2439,0,0,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
IND,YAACOB BIN MAN,968,0,0,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
MCA,YIP SUN ONN,3399,0,1814,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
IND,MOHD RAZI MUSTAFFA,1585,0,0,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
PKR,KERIA SENAWI,846,0,0,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
MCA,LOH YOON FOO,3668,0,2192,2004-GE,2004,GE,PL,P1,N1,TITI TINGGI,6887,71,25,3,0,0,0,0,0,0,253,5593,196,0
PKR,KO CHU LIANG,1476,0,0,2004-GE,2004,GE,PL,P1,N1,TITI TINGGI,6887,71,25,3,0,0,0,0,0,0,253,5593,196,0
UMNO,RUZAINI BIN RAIS,2879,RUZAINI BIN RAIS,416,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
AMANAH,WAN KHARIZAL BIN WAN KHAZIM,2463,WAN KHARIZAL,0,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
PAS,AZAMHARI BIN MOHAMOOD,1523,UST  AZAMHARI,0,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
UMNO,MAT RAWI BIN KASSIM,3636,0,540,2013-GE,2013,GE,PL,P1,N2,BESERI,8197,78,20,1,2,0,0,0,0,0,95,6827,0,0
PAS,WAN KHARIZAL BIN WAN KHAZIM,3096,0,0,2013-GE,2013,GE,PL,P1,N2,BESERI,8197,78,20,1,2,0,0,0,0,0,95,6827,0,0
UMNO,MOHD RAWI KASSIM,3123,0,1111,2008-GE,2008,GE,PL,P1,N2,BESERI,6932,71,26,1,2,0,0,0,0,0,130,5265,0,0
PKR,DZULKEFLI MAT DE,2012,0,0,2008-GE,2008,GE,PL,P1,N2,BESERI,6932,71,26,1,2,0,0,0,0,0,130,5265,0,0
UMNO,DATUK ZAHIDI ZAINUL ABIDIN,3492,0,1871,2004-GE,2004,GE,PL,P1,N2,BESERI,6645,75,23,1,1,0,0,0,0,0,109,5222,0,0
PAS,MOHD ANUAR MOHD TAHIR,1621,0,0,2004-GE,2004,GE,PL,P1,N2,BESERI,6645,75,23,1,1,0,0,0,0,0,109,5222,0,0
UMNO,ASMAIZA BINTI AHMAD,3889,ASMAIZA BINTI AHMAD,1367,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
PKR,POZIYAH BINTI HAMZAH,2522,POZIYAH BINTI HAMZAH,0,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
PAS,MOHD ALI BIN PUTEH,1967,HJ MOHD ALI PUTEH,0,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
UMNO,ASMAIZA BINTI AHMAD,5688,0,2876,2013-GE,2013,GE,PL,P1,N3,CHUPING,9848,86,2,1,11,0,0,0,0,0,165,8665,0,0
PKR,WAN MOHAMAD FISHAAL BIN WAN DAUD,2812,0,0,2013-GE,2013,GE,PL,P1,N3,CHUPING,9848,86,2,1,11,0,0,0,0,0,165,8665,0,0
UMNO,MANSOR JUSOH,4972,0,2803,2008-GE,2008,GE,PL,P1,N3,CHUPING,8825,83,3,1,13,0,0,0,0,0,151,7301,9,0
PAS,MOHDALI PUTEH,2169,0,0,2008-GE,2008,GE,PL,P1,N3,CHUPING,8825,83,3,1,13,0,0,0,0,0,151,7301,9,0
UMNO,MANSOR JUSOH,4632,0,2590,2004-GE,2004,GE,PL,P1,N3,CHUPING,7802,85,4,2,10,0,0,0,0,0,122,6797,1,0
PAS,MOHD ALI PUTEH,2042,0,0,2004-GE,2004,GE,PL,P1,N3,CHUPING,7802,85,4,2,10,0,0,0,0,0,122,6797,1,0
UMNO,SITI BERENEE BINTI YAHAYA,2684,SITI BERENEE BINTI YAHAYA,720,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
BERSATU,AZHAR BIN OMAR,1964,LT KOL (B) HJ AZHAR BIN HJ OMAR,0,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
PAS,MOHAMMAD BIN YAHYA,1516,CIKGU MOHAMMAD,0,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
UMNO,KHAIRI BIN HASAN,3739,0,1989,2013-GE,2013,GE,PL,P1,N4,MATA AYER,6365,91,3,1,5,0,0,0,0,0,86,5575,0,0
PKR,AMMAR BIN GAZALI,1750,0,0,2013-GE,2013,GE,PL,P1,N4,MATA AYER,6365,91,3,1,5,0,0,0,0,0,86,5575,0,0
UMNO,KHAIRI HASSAN,3059,0,1622,2008-GE,2008,GE,PL,P1,N4,MATA AYER,5547,92,4,1,3,0,0,0,0,0,98,4662,68,0
PAS,WAN KHARIZAL WAN KHAZIM,1437,0,0,2008-GE,2008,GE,PL,P1,N4,MATA AYER,5547,92,4,1,3,0,0,0,0,0,98,4662,68,0
UMNO,KHAIRI HASSAN,3041,0,1603,2004-GE,2004,GE,PL,P1,N4,MATA AYER,5557,90,4,2,4,0,0,0,0,0,56,4563,28,0
PAS,SUWARDI YAACOB,1438,0,0,2004-GE,2004,GE,PL,P1,N4,MATA AYER,5557,90,4,2,4,0,0,0,0,0,56,4563,28,0
UMNO,AZIZAN BIN SULAIMAN,3071,AZIZAN BIN SULAIMAN,949,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
AMANAH,CHE MAZLINA BINTI CHE YOB,2122,CIKGU MAZLINA CHE YOB,0,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
PAS,BAHARUDDIN BIN AHMAD,2088,BAHARUDDIN AHMAD,0,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
UMNO,SABRY BIN AHMAD,4209,0,1084,2013-GE,2013,GE,PL,P1,N5,SANTAN,8405,99,1,0,0,0,0,0,0,0,93,7427,0,0
PAS,MOHD ANUAR BIN MOHD TAHIR,3125,0,0,2013-GE,2013,GE,PL,P1,N5,SANTAN,8405,99,1,0,0,0,0,0,0,0,93,7427,0,0
UMNO,SABRY AHMAD,3475,0,712,2008-GE,2008,GE,PL,P1,N5,SANTAN,7479,99,1,0,0,0,0,0,0,0,101,6351,12,0
PAS,ABDUL RASHID ABDUL RAHMAN,2763,0,0,2008-GE,2008,GE,PL,P1,N5,SANTAN,7479,99,1,0,0,0,0,0,0,0,101,6351,12,0
UMNO,SABRY AHMAD,3284,0,578,2004-GE,2004,GE,PL,P1,N5,SANTAN,7008,99,1,0,0,0,0,0,0,0,73,6063,0,0
PAS,ZOLKHARNAIN ABIDIN,2706,0,0,2004-GE,2004,GE,PL,P1,N5,SANTAN,7008,99,1,0,0,0,0,0,0,0,73,6063,0,0
UMNO,AZLAN BIN MAN,3986,DATO' SERI AZLAN MAN,847,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
AMANAH,MOKHTAR BIN CHE KASSIM,3139,MERI @ MOKHTAR CHE KASSIM,0,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
PAS,ABD JAMIL BIN KAMIS,2695,ABD JAMIL,0,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
UMNO,RELA BINTI AHMAD,5255,0,1237,2013-GE,2013,GE,PL,P2,N6,BINTONG,10911,96,3,1,0,0,0,0,0,0,188,9461,0,0
PAS,ABD JAMIL BIN KAMIS,4018,0,0,2013-GE,2013,GE,PL,P2,N6,BINTONG,10911,96,3,1,0,0,0,0,0,0,188,9461,0,0
UMNO,MAT ISA SABU,4882,0,2110,2008-GE,2008,GE,PL,P2,N6,BINTONG,9386,95,3,1,0,0,0,0,0,0,184,7864,26,0
PAS,MOHDANUAR TAHIR,2772,0,0,2008-GE,2008,GE,PL,P2,N6,BINTONG,9386,95,3,1,0,0,0,0,0,0,184,7864,26,0
UMNO,RUSLI MAT HUSIN,4076,0,1508,2004-GE,2004,GE,PL,P2,N6,BINTONG,7850,96,3,1,0,0,0,0,0,0,107,6757,6,0
PAS,ABDUL ZAKARIA,2568,0,0,2004-GE,2004,GE,PL,P2,N6,BINTONG,7850,96,3,1,0,0,0,0,0,0,107,6757,6,0
PKR,ASRUL NIZAN BIN ABD JALIL,4177,ASRUL NIZAN BIN ABD JALIL,314,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
UMNO,AZIHANI BINTI ALI,3863,AZIHANI BINTI ALI,0,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
PAS,FAKHRUL ANWAR BIN ISMAIL,1888,USTAZ FAKHRUL ANWAR,0,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
