Party,Name,Votes,NameBallot,majority,Event,year,type,State,ParliamentCode,SeatName,EligibleVoters,MalayVoters,ChineseVoters,IndianVoters,OtherVoters,BumiMuslimVoters,BumiNonmuslimVoters,SabahBumiVoters,Early,Postal,Spoilt,Turnout,Unreturned
UMNO,ZAHIDI BIN ZAINUL ABIDIN,15032,DATUK ZAHIDI BIN ZAINUL ABIDIN,1438,2018-GE,2018,GE,PL,P1,PADANG BESAR,46095,87,9,1,4,0,0,0,2466,10,0,0,0
BERSATU,IZIZAM BIN IBRAHIM,13594,IZIZAM BIN IBRAHIM,0,2018-GE,2018,GE,PL,P1,PADANG BESAR,46095,87,9,1,4,0,0,0,2466,10,0,0,0
PAS,MOKHTAR BIN SENIK,7874,USTAZ MOKHTAR SENIK,0,2018-GE,2018,GE,PL,P1,PADANG BESAR,46095,87,9,1,4,0,0,0,2466,10,0,0,0
UMNO,ZAHIDI BIN ZAINUL ABIDIN,21473,0,7426,2013-GE,2013,GE,PL,P1,PADANG BESAR,41974,86,9,1,4,0,0,0,0,0,531,36051,0
PAS,AZAMHARI BIN MOHAMOOD,14047,0,0,2013-GE,2013,GE,PL,P1,PADANG BESAR,41974,86,9,1,4,0,0,0,0,0,531,36051,0
UMNO,DATUK SERI MOHD AZMI KHALID,16991,0,5348,2008-GE,2008,GE,PL,P1,PADANG BESAR,36613,84,12,1,4,0,0,0,0,0,674,29310,2
PAS,ZOLKHARNAIN ABIDIN,11643,0,0,2008-GE,2008,GE,PL,P1,PADANG BESAR,36613,84,12,1,4,0,0,0,0,0,674,29310,2
UMNO,DATUK SERI AZMI KHALID,18322,0,9264,2004-GE,2004,GE,PL,P1,PADANG BESAR,33899,84,11,1,3,0,0,0,0,0,672,28453,400
PAS,WAN KHARIZAL WAN KHAZIM,9058,0,0,2004-GE,2004,GE,PL,P1,PADANG BESAR,33899,84,11,1,3,0,0,0,0,0,672,28453,400
PKR,NOOR AMIN BIN AHMAD,20909,AMIN AHMAD,5603,2018-GE,2018,GE,PL,P2,KANGAR,55938,82,15,2,1,0,0,0,1166,11,0,0,0
UMNO,RAMLI BIN SHARIFF,15306,RAMLI SHARIFF,0,2018-GE,2018,GE,PL,P2,KANGAR,55938,82,15,2,1,0,0,0,1166,11,0,0,0
PAS,MOHAMAD ZAHID BIN IBRAHIM,8465,USTAZ ZAHID IBRAHIM,0,2018-GE,2018,GE,PL,P2,KANGAR,55938,82,15,2,1,0,0,0,1166,11,0,0,0
UMNO,SHAHARUDDIN BIN ISMAIL,23343,0,4037,2013-GE,2013,GE,PL,P2,KANGAR,51207,81,16,2,2,0,0,0,0,0,667,43309,0
PAS,BAHARUDDIN BIN AHMAD,19306,0,0,2013-GE,2013,GE,PL,P2,KANGAR,51207,81,16,2,2,0,0,0,0,0,667,43309,0
UMNO,DATUK SERI RADZI SHEIKH AHMAD,23821,0,13671,2008-GE,2008,GE,PL,P2,KANGAR,43591,79,18,2,1,0,0,0,0,0,808,34946,167
PKR,TUNKU ABDUL RAHMAN TUNKU ISMAIL,10150,0,0,2008-GE,2008,GE,PL,P2,KANGAR,43591,79,18,2,1,0,0,0,0,0,808,34946,167
UMNO,DATUK RADZI SHEIKH AHMAD,22498,0,12548,2004-GE,2004,GE,PL,P2,KANGAR,40516,79,18,2,1,0,0,0,0,0,548,32996,99
PAS,ISHAR SAAD,9950,0,0,2004-GE,2004,GE,PL,P2,KANGAR,40516,79,18,2,1,0,0,0,0,0,548,32996,99
UMNO,SHAHIDAN BIN KASSIM,16547,SHAHIDAN BIN KASSIM,4856,2018-GE,2018,GE,PL,P3,ARAU,48187,88,8,2,3,0,0,0,488,4,0,0,0
BERSATU,ABD RAHMAN BIN DAUD,11691,DATO' DR HAJI ABD RAHMAN BIN DAUD,0,2018-GE,2018,GE,PL,P3,ARAU,48187,88,8,2,3,0,0,0,488,4,0,0,0
PAS,HASHIM BIN HJ JASIN,11362,USTAZ HASHIM JASIN,0,2018-GE,2018,GE,PL,P3,ARAU,48187,88,8,2,3,0,0,0,488,4,0,0,0
UMNO,SHAHIDAN BIN KASSIM,19376,0,1371,2013-GE,2013,GE,PL,P3,ARAU,43876,88,8,2,3,0,0,0,0,0,525,38312,0
PAS,HARON BIN DIN,18005,0,0,2013-GE,2013,GE,PL,P3,ARAU,43876,88,8,2,3,0,0,0,0,0,525,38312,0
IND,ZAINUDIN BIN YOM,406,0,0,2013-GE,2013,GE,PL,P3,ARAU,43876,88,8,2,3,0,0,0,0,0,525,38312,0
UMNO,DATUK ISMAIL KASSIM,16451,0,300,2008-GE,2008,GE,PL,P3,ARAU,39877,87,9,2,3,0,0,0,0,0,586,33276,88
PAS,DATUK DRHARON DIN,16151,0,0,2008-GE,2008,GE,PL,P3,ARAU,39877,87,9,2,3,0,0,0,0,0,586,33276,88
UMNO,DATUK SERI SYED RAZLAN SYED PUTRA JAMALULLAIL,17367,0,3243,2004-GE,2004,GE,PL,P3,ARAU,38067,87,9,2,2,0,0,0,0,0,533,32062,38
PAS,DATUK DR HARON DIN,14124,0,0,2004-GE,2004,GE,PL,P3,ARAU,38067,87,9,2,2,0,0,0,0,0,533,32062,38
BERSATU,MAHATHIR BIN MOHAMAD,18954,DR MAHATHIR BIN MOHAMAD,8893,2018-GE,2018,GE,KD,P4,LANGKAWI,42697,91,7,2,1,0,0,0,1588,3,0,0,0
UMNO,NAWAWI BIN AHMAD,10061,DATO' IR NAWAWI BIN AHMAD,0,2018-GE,2018,GE,KD,P4,LANGKAWI,42697,91,7,2,1,0,0,0,1588,3,0,0,0
PAS,ZUBIR BIN AHMAD,5512,ZUBIR BIN AHMAD,0,2018-GE,2018,GE,KD,P4,LANGKAWI,42697,91,7,2,1,0,0,0,1588,3,0,0,0
UMNO,NAWAWI BIN AHMAD,21407,0,11861,2013-GE,2013,GE,KD,P4,LANGKAWI,37536,91,6,2,1,0,0,0,0,0,744,31877,0
PKR,AHMAD BIN ABDULLAH,9546,0,0,2013-GE,2013,GE,KD,P4,LANGKAWI,37536,91,6,2,1,0,0,0,0,0,744,31877,0
IND,MARINA BINTI HUSSEIN,180,0,0,2013-GE,2013,GE,KD,P4,LANGKAWI,37536,91,6,2,1,0,0,0,0,0,744,31877,0
UMNO,DATO PADUKA ABU BAKAR TAIB,13762,0,4970,2008-GE,2008,GE,KD,P4,LANGKAWI,29567,91,7,2,0,0,0,0,0,0,670,23273,49
PKR,WAN SALLEH WAN ISA,8792,0,0,2008-GE,2008,GE,KD,P4,LANGKAWI,29567,91,7,2,0,0,0,0,0,0,670,23273,49
UMNO,DATUK ABU BAKAR TAIB,16510,0,10772,2004-GE,2004,GE,KD,P4,LANGKAWI,27980,90,7,3,0,0,0,0,0,0,560,22844,36
PAS,ZUBIR AHMAD,5738,0,0,2004-GE,2004,GE,KD,P4,LANGKAWI,27980,90,7,3,0,0,0,0,0,0,560,22844,36
BERSATU,MUKHRIZ MAHATHIR,18695,MUKHRIZ MAHATHIR,5866,2018-GE,2018,GE,KD,P5,JERLUN,54132,91,7,0,2,0,0,0,55,4,0,0,0
PAS,ABD GHANI BIN AHMAD,12829,ABD GHANI BIN AHMAD,0,2018-GE,2018,GE,KD,P5,JERLUN,54132,91,7,0,2,0,0,0,55,4,0,0,0
UMNO,OTHMAN BIN AZIZ,12413,OTHMAN BIN AZIZ,0,2018-GE,2018,GE,KD,P5,JERLUN,54132,91,7,0,2,0,0,0,55,4,0,0,0
UMNO,OTHMAN BIN AZIZ,24161,0,3270,2013-GE,2013,GE,KD,P5,JERLUN,52383,91,8,0,2,0,0,0,0,0,730,45782,0
PAS,ISMAIL BIN SALLEH,20891,0,0,2013-GE,2013,GE,KD,P5,JERLUN,52383,91,8,0,2,0,0,0,0,0,730,45782,0
