,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
0,P001,Padang Besar,Perlis,Zahidi Zainul Abidin,21473,59.6,BN,UMNO,7426,Azmi Khalid,BN,UMNO,41974,86.0,9.0,,4.0,,,36051,85.9,531,1.3
1,P001,Padang Besar,Perlis,Azamhari Mohamood,14047,39.0,PR,PAS,7426,Azmi Khalid,BN,UMNO,41974,86.0,9.0,,4.0,,,36051,85.9,531,1.3
2,P002,Kangar,Perlis,Shaharuddin Ismail,23343,53.9,BN,UMNO,4037,Mohd Radzi Sheikh Ahmad,BN,UMNO,51207,81.0,16.0,2.0,,,,43316,84.6,667,1.5
3,P002,Kangar,Perlis,Baharuddin Ahmad,19306,44.6,PR,PAS,4037,Mohd Radzi Sheikh Ahmad,BN,UMNO,51207,81.0,16.0,2.0,,,,43316,84.6,667,1.5
4,P003,Arau,Perlis,Shahidan Kassim,19376,50.6,BN,UMNO,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
5,P003,Arau,Perlis,Zainudin Yom,406,1.1,,IND,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
6,P003,Arau,Perlis,Haron Din,18005,47.0,PR,PAS,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
7,P004,Langkawi,Kedah,Nawawi Ahmad,21407,67.2,BN,UMNO,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
8,P004,Langkawi,Kedah,Marina Hussein,180,0.6,,IND,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
9,P004,Langkawi,Kedah,Ahmad Abdullah,9546,29.9,PR,PKR,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
10,P005,Jerlun,Kedah,Othman Aziz,24161,52.8,BN,UMNO,3270,Mukhriz Mahathir,BN,UMNO,52383,91.0,8.0,,2.0,,,45782,87.4,730,1.4
11,P005,Jerlun,Kedah,Ismail Salleh,20891,45.6,PR,PAS,3270,Mukhriz Mahathir,BN,UMNO,52383,91.0,8.0,,2.0,,,45782,87.4,730,1.4
12,P006,Kubang Pasu,Kedah,Mohd Johari Baharum,33334,58.4,BN,UMNO,10444,Mohd Johari Baharum,BN,UMNO,65550,86.0,9.0,4.0,,,,57058,87.0,834,1.3
13,P006,Kubang Pasu,Kedah,Mohd Jamal Nasir,22890,40.1,PR,PAS,10444,Mohd Johari Baharum,BN,UMNO,65550,86.0,9.0,4.0,,,,57058,87.0,834,1.3
14,P007,Padang Terap,Kedah,Mohd Nasir Zakaria,16212,42.9,PR,PAS,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
15,P007,Padang Terap,Kedah,Muhamad Bazli Abdullah,243,0.6,,IND,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
16,P007,Padang Terap,Kedah,Mahdzir Khalid,20654,54.6,BN,UMNO,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
17,P008,Pokok Sena,Kedah,Mahfuz Omar,36198,52.2,PR,PAS,3935,Mahfuz Omar,PR,PAS,80714,80.0,18.0,2.0,,,,69309,85.9,848,1.1
18,P008,Pokok Sena,Kedah,Shahlan Ismail,32263,46.5,BN,UMNO,3935,Mahfuz Omar,PR,PAS,80714,80.0,18.0,2.0,,,,69309,85.9,848,1.1
19,P009,Alor Setar,Kedah,Jawahar Raja Abdul Wahid,257,0.4,,MUPP,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
20,P009,Alor Setar,Kedah,Abdul Fisol Mohd Isa,3530,6.1,,BERJASA,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
